PRODUCE,COST PER POUND,POUNDS SOLD,TOTAL
Butternut squash,1.28,17.5,"=ROUND(B19901*C19901,2)"
Green cabbage,0.8,31.7,"=ROUND(B19902*C19902,2)"
Tomatoes,3.16,25.5,"=ROUND(B19903*C19903,2)"
Lemon,1.27,25.6,"=ROUND(B19904*C19904,2)"
Okra,2.26,36.8,"=ROUND(B19905*C19905,2)"
Butternut squash,1.28,3.6,"=ROUND(B19906*C19906,2)"
Celery,1.19,0.9,"=ROUND(B19907*C19907,2)"
Beets,1.51,4.4,"=ROUND(B19908*C19908,2)"
Cherries,9.5,39.1,"=ROUND(B19909*C19909,2)"
Green beans,2.52,21.9,"=ROUND(B19910*C19910,2)"
Okra,2.26,7.4,"=ROUND(B19911*C19911,2)"
Brussels sprouts,1.65,24.6,"=ROUND(B19912*C19912,2)"
Bananas,0.86,25.7,"=ROUND(B19913*C19913,2)"
Avocados,3.23,27.8,"=ROUND(B19914*C19914,2)"
Bananas,0.86,21.9,"=ROUND(B19915*C19915,2)"
Green beans,2.52,28.7,"=ROUND(B19916*C19916,2)"
Brussels sprouts,1.65,5.100000000000001,"=ROUND(B19917*C19917,2)"
Lettuce,1.88,14.6,"=ROUND(B19918*C19918,2)"
Daikon,1.4,14.6,"=ROUND(B19919*C19919,2)"
Okra,2.26,22.1,"=ROUND(B19920*C19920,2)"
Strawberries,4.4,4.4,"=ROUND(B19921*C19921,2)"
Garlic,3.07,37.3,"=ROUND(B19922*C19922,2)"
Yellow peppers,2.87,34.1,"=ROUND(B19923*C19923,2)"
Lettuce,1.88,20.7,"=ROUND(B19924*C19924,2)"
Garlic,3.07,27,"=ROUND(B19925*C19925,2)"
Yellow peppers,2.87,37.8,"=ROUND(B19926*C19926,2)"
Corn,1.07,21,"=ROUND(B19927*C19927,2)"
Carrots,1.26,3.5,"=ROUND(B19928*C19928,2)"
Carrots,1.26,25.6,"=ROUND(B19929*C19929,2)"
Grapefruit,0.76,26.8,"=ROUND(B19930*C19930,2)"
Garlic,3.07,30.4,"=ROUND(B19931*C19931,2)"
Cherries,9.5,38.40000000000001,"=ROUND(B19932*C19932,2)"
Cucumber,1.07,24.1,"=ROUND(B19933*C19933,2)"
Avocados,3.23,14.4,"=ROUND(B19934*C19934,2)"
Red onion,0.78,17.6,"=ROUND(B19935*C19935,2)"
Carrots,1.26,27.3,"=ROUND(B19936*C19936,2)"
Cherries,9.5,28.1,"=ROUND(B19937*C19937,2)"
Green beans,2.52,29.4,"=ROUND(B19938*C19938,2)"
Yellow peppers,2.87,36.5,"=ROUND(B19939*C19939,2)"
Beets,1.51,39,"=ROUND(B19940*C19940,2)"
Avocados,3.23,14.5,"=ROUND(B19941*C19941,2)"
Daikon,1.4,30.4,"=ROUND(B19942*C19942,2)"
Tomatoes,3.16,11.9,"=ROUND(B19943*C19943,2)"
Strawberries,4.4,6.300000000000001,"=ROUND(B19944*C19944,2)"
Carrots,1.26,26.1,"=ROUND(B19945*C19945,2)"
Coconuts,1.18,25.1,"=ROUND(B19946*C19946,2)"
Asparagus,2.49,34.2,"=ROUND(B19947*C19947,2)"
Grapefruit,0.76,28.6,"=ROUND(B19948*C19948,2)"
Lemon,1.27,10.4,"=ROUND(B19949*C19949,2)"
Garlic,3.07,5.800000000000001,"=ROUND(B19950*C19950,2)"
Okra,2.26,39.7,"=ROUND(B19951*C19951,2)"
Red onion,0.78,39.8,"=ROUND(B19952*C19952,2)"
Daikon,1.4,0.8,"=ROUND(B19953*C19953,2)"
Yellow peppers,2.87,29.8,"=ROUND(B19954*C19954,2)"
Apricots,3.71,31.7,"=ROUND(B19955*C19955,2)"
Coconuts,1.18,38.90000000000001,"=ROUND(B19956*C19956,2)"
Parsnips,2.27,11.1,"=ROUND(B19957*C19957,2)"
Lemon,1.27,29.8,"=ROUND(B19958*C19958,2)"
Bok choy,1.42,29.5,"=ROUND(B19959*C19959,2)"
Grapefruit,0.76,15.5,"=ROUND(B19960*C19960,2)"
Coconuts,1.18,17.4,"=ROUND(B19961*C19961,2)"
Grapefruit,0.76,17.7,"=ROUND(B19962*C19962,2)"
Cucumber,1.07,0.5,"=ROUND(B19963*C19963,2)"
Cherries,9.5,23.6,"=ROUND(B19964*C19964,2)"
Daikon,1.4,22,"=ROUND(B19965*C19965,2)"
Apples,1.88,27.7,"=ROUND(B19966*C19966,2)"
Brussels sprouts,1.65,20.3,"=ROUND(B19967*C19967,2)"
Lettuce,1.88,34.7,"=ROUND(B19968*C19968,2)"
Cherries,9.5,4,"=ROUND(B19969*C19969,2)"
Okra,2.26,3.2,"=ROUND(B19970*C19970,2)"
Grapefruit,0.76,38.7,"=ROUND(B19971*C19971,2)"
Ginger,5.13,6.7,"=ROUND(B19972*C19972,2)"
Bananas,0.86,38.8,"=ROUND(B19973*C19973,2)"
Apples,1.88,7.4,"=ROUND(B19974*C19974,2)"
Lettuce,1.88,2.4,"=ROUND(B19975*C19975,2)"
Yellow peppers,2.87,24.9,"=ROUND(B19976*C19976,2)"
Apricots,3.71,26.4,"=ROUND(B19977*C19977,2)"
Apricots,3.71,33.1,"=ROUND(B19978*C19978,2)"
Papaya,1.34,11.4,"=ROUND(B19979*C19979,2)"
Okra,2.26,26.9,"=ROUND(B19980*C19980,2)"
Spinach,4.12,12,"=ROUND(B19981*C19981,2)"
Green peppers,1.89,19.8,"=ROUND(B19982*C19982,2)"
Kale,5.02,19.7,"=ROUND(B19983*C19983,2)"
Grapes,2.63,31.6,"=ROUND(B19984*C19984,2)"
Kale,5.02,8.200000000000001,"=ROUND(B19985*C19985,2)"
Green beans,2.52,11.9,"=ROUND(B19986*C19986,2)"
Papaya,1.34,7.800000000000001,"=ROUND(B19987*C19987,2)"
Strawberries,4.4,4.5,"=ROUND(B19988*C19988,2)"
Apricots,3.71,12.5,"=ROUND(B19989*C19989,2)"
Bok choy,1.42,9.3,"=ROUND(B19990*C19990,2)"
Lemon,1.27,27.3,"=ROUND(B19991*C19991,2)"
Grapes,2.63,38.7,"=ROUND(B19992*C19992,2)"
Corn,1.07,14.3,"=ROUND(B19993*C19993,2)"
Okra,2.26,34.2,"=ROUND(B19994*C19994,2)"
Lemon,1.27,6.9,"=ROUND(B19995*C19995,2)"
Celery,1.19,13.1,"=ROUND(B19996*C19996,2)"
Lettuce,1.88,25.6,"=ROUND(B19997*C19997,2)"
Lime,1.06,23,"=ROUND(B19998*C19998,2)"
Strawberries,4.4,16.7,"=ROUND(B19999*C19999,2)"
Garlic,3.07,13,"=ROUND(B20000*C20000,2)"
Coconuts,1.18,35.1,"=ROUND(B20001*C20001,2)"
Carrots,1.26,14.1,"=ROUND(B20002*C20002,2)"
Coconuts,1.18,1,"=ROUND(B20003*C20003,2)"
Coconuts,1.18,28.8,"=ROUND(B20004*C20004,2)"
Strawberries,4.4,16.1,"=ROUND(B20005*C20005,2)"
Spinach,4.12,6.4,"=ROUND(B20006*C20006,2)"
Lime,1.06,16.7,"=ROUND(B20007*C20007,2)"
Papaya,1.34,18.2,"=ROUND(B20008*C20008,2)"
Lettuce,1.88,23.9,"=ROUND(B20009*C20009,2)"
Okra,2.26,12.8,"=ROUND(B20010*C20010,2)"
Watermelon,0.66,4.5,"=ROUND(B20011*C20011,2)"
Strawberries,4.4,13.7,"=ROUND(B20012*C20012,2)"
Celery,1.19,24.7,"=ROUND(B20013*C20013,2)"
Coconuts,1.18,17.2,"=ROUND(B20014*C20014,2)"
Celery,1.19,28.2,"=ROUND(B20015*C20015,2)"
Eggplant,2.32,26.4,"=ROUND(B20016*C20016,2)"
Corn,1.07,36.1,"=ROUND(B20017*C20017,2)"
Tomatoes,3.16,35.2,"=ROUND(B20018*C20018,2)"
Carrots,1.26,21.9,"=ROUND(B20019*C20019,2)"
Kale,5.02,3.8,"=ROUND(B20020*C20020,2)"
Green peppers,1.89,13.8,"=ROUND(B20021*C20021,2)"
Garlic,3.07,35.1,"=ROUND(B20022*C20022,2)"
Beets,1.51,35.8,"=ROUND(B20023*C20023,2)"
Garlic,3.07,36,"=ROUND(B20024*C20024,2)"
Lemon,1.27,15.7,"=ROUND(B20025*C20025,2)"
Papaya,1.34,17.6,"=ROUND(B20026*C20026,2)"
Green cabbage,0.8,37.9,"=ROUND(B20027*C20027,2)"
Tomatoes,3.16,37.7,"=ROUND(B20028*C20028,2)"
Potatoes,0.86,34.9,"=ROUND(B20029*C20029,2)"
Avocados,3.23,15.8,"=ROUND(B20030*C20030,2)"
Garlic,3.07,25.7,"=ROUND(B20031*C20031,2)"
Apricots,3.71,34,"=ROUND(B20032*C20032,2)"
Apples,1.88,38.8,"=ROUND(B20033*C20033,2)"
Watermelon,0.66,2.5,"=ROUND(B20034*C20034,2)"
Strawberries,4.4,20.5,"=ROUND(B20035*C20035,2)"
Beets,1.51,11.6,"=ROUND(B20036*C20036,2)"
Beets,1.51,35.1,"=ROUND(B20037*C20037,2)"
Spinach,4.12,11.7,"=ROUND(B20038*C20038,2)"
Brussels sprouts,1.65,28.5,"=ROUND(B20039*C20039,2)"
Butternut squash,1.28,37.3,"=ROUND(B20040*C20040,2)"
Potatoes,0.86,34.9,"=ROUND(B20041*C20041,2)"
Grapefruit,0.76,34.1,"=ROUND(B20042*C20042,2)"
Parsnips,2.27,7.300000000000001,"=ROUND(B20043*C20043,2)"
Grapes,2.63,9.9,"=ROUND(B20044*C20044,2)"
Watermelon,0.66,17.9,"=ROUND(B20045*C20045,2)"
Green beans,2.52,33.3,"=ROUND(B20046*C20046,2)"
Apricots,3.71,31.5,"=ROUND(B20047*C20047,2)"
Garlic,3.07,26,"=ROUND(B20048*C20048,2)"
Grapefruit,0.76,9.600000000000001,"=ROUND(B20049*C20049,2)"
Strawberries,4.4,17.2,"=ROUND(B20050*C20050,2)"
Garlic,3.07,6.7,"=ROUND(B20051*C20051,2)"
Parsnips,2.27,6.5,"=ROUND(B20052*C20052,2)"
Grapes,2.63,26,"=ROUND(B20053*C20053,2)"
Apples,1.88,16,"=ROUND(B20054*C20054,2)"
Strawberries,4.4,4,"=ROUND(B20055*C20055,2)"
Coconuts,1.18,32.1,"=ROUND(B20056*C20056,2)"
Asparagus,2.49,33.7,"=ROUND(B20057*C20057,2)"
Bok choy,1.42,16.4,"=ROUND(B20058*C20058,2)"
Green peppers,1.89,23.6,"=ROUND(B20059*C20059,2)"
Beets,1.51,18.7,"=ROUND(B20060*C20060,2)"
Apricots,3.71,7.800000000000001,"=ROUND(B20061*C20061,2)"
Avocados,3.23,2.5,"=ROUND(B20062*C20062,2)"
Apples,1.88,20.2,"=ROUND(B20063*C20063,2)"
Asparagus,2.49,33.8,"=ROUND(B20064*C20064,2)"
Bok choy,1.42,39.2,"=ROUND(B20065*C20065,2)"
Okra,2.26,32.2,"=ROUND(B20066*C20066,2)"
Lettuce,1.88,25.1,"=ROUND(B20067*C20067,2)"
Celery,1.19,12,"=ROUND(B20068*C20068,2)"
Spinach,4.12,24.7,"=ROUND(B20069*C20069,2)"
Bananas,0.86,24.3,"=ROUND(B20070*C20070,2)"
Ginger,5.13,6.300000000000001,"=ROUND(B20071*C20071,2)"
Green cabbage,0.8,0.7000000000000001,"=ROUND(B20072*C20072,2)"
Ginger,5.13,17.5,"=ROUND(B20073*C20073,2)"
Parsnips,2.27,8.3,"=ROUND(B20074*C20074,2)"
Parsnips,2.27,6,"=ROUND(B20075*C20075,2)"
Asparagus,2.49,26.7,"=ROUND(B20076*C20076,2)"
Strawberries,4.4,29.3,"=ROUND(B20077*C20077,2)"
Butternut squash,1.28,8,"=ROUND(B20078*C20078,2)"
Strawberries,4.4,19.3,"=ROUND(B20079*C20079,2)"
Parsnips,2.27,9.8,"=ROUND(B20080*C20080,2)"
Asparagus,2.49,26.7,"=ROUND(B20081*C20081,2)"
Apricots,3.71,10.6,"=ROUND(B20082*C20082,2)"
Cucumber,1.07,3.5,"=ROUND(B20083*C20083,2)"
Lime,1.06,2.9,"=ROUND(B20084*C20084,2)"
Lettuce,1.88,27.6,"=ROUND(B20085*C20085,2)"
Apples,1.88,22.9,"=ROUND(B20086*C20086,2)"
Red onion,0.78,25.9,"=ROUND(B20087*C20087,2)"
Lettuce,1.88,37.7,"=ROUND(B20088*C20088,2)"
Okra,2.26,31.2,"=ROUND(B20089*C20089,2)"
Potatoes,0.86,25.4,"=ROUND(B20090*C20090,2)"
Okra,2.26,32.5,"=ROUND(B20091*C20091,2)"
Grapes,2.63,32.9,"=ROUND(B20092*C20092,2)"
Cherries,9.5,26.2,"=ROUND(B20093*C20093,2)"
Lettuce,1.88,18.9,"=ROUND(B20094*C20094,2)"
Bok choy,1.42,15.7,"=ROUND(B20095*C20095,2)"
Red onion,0.78,16.7,"=ROUND(B20096*C20096,2)"
Red onion,0.78,37.2,"=ROUND(B20097*C20097,2)"
Cherries,9.5,10.1,"=ROUND(B20098*C20098,2)"
Garlic,3.07,10.5,"=ROUND(B20099*C20099,2)"
Daikon,1.4,7.9,"=ROUND(B20100*C20100,2)"
Tomatoes,3.16,10.9,"=ROUND(B20101*C20101,2)"
Fava beans,2.69,6.7,"=ROUND(B20102*C20102,2)"
Garlic,3.07,28.9,"=ROUND(B20103*C20103,2)"
Apricots,3.71,38.3,"=ROUND(B20104*C20104,2)"
Daikon,1.4,18.8,"=ROUND(B20105*C20105,2)"
Cucumber,1.07,31.2,"=ROUND(B20106*C20106,2)"
Grapes,2.63,28.3,"=ROUND(B20107*C20107,2)"
Spinach,4.12,31.5,"=ROUND(B20108*C20108,2)"
Daikon,1.4,35.1,"=ROUND(B20109*C20109,2)"
Fava beans,2.69,20.1,"=ROUND(B20110*C20110,2)"
Green peppers,1.89,27.8,"=ROUND(B20111*C20111,2)"
Coconuts,1.18,15.5,"=ROUND(B20112*C20112,2)"
Coconuts,1.18,22.7,"=ROUND(B20113*C20113,2)"
Papaya,1.34,31.7,"=ROUND(B20114*C20114,2)"
Lime,1.06,1.4,"=ROUND(B20115*C20115,2)"
Lemon,1.27,15.5,"=ROUND(B20116*C20116,2)"
Spinach,4.12,30.7,"=ROUND(B20117*C20117,2)"
Bok choy,1.42,39,"=ROUND(B20118*C20118,2)"
Watermelon,0.66,27.1,"=ROUND(B20119*C20119,2)"
Green peppers,1.89,4.5,"=ROUND(B20120*C20120,2)"
Corn,1.07,21.6,"=ROUND(B20121*C20121,2)"
Tomatoes,3.16,33.3,"=ROUND(B20122*C20122,2)"
Avocados,3.23,9.4,"=ROUND(B20123*C20123,2)"
Brussels sprouts,1.65,13.7,"=ROUND(B20124*C20124,2)"
Butternut squash,1.28,9.600000000000001,"=ROUND(B20125*C20125,2)"
Avocados,3.23,29,"=ROUND(B20126*C20126,2)"
Kale,5.02,10.9,"=ROUND(B20127*C20127,2)"
Okra,2.26,35.7,"=ROUND(B20128*C20128,2)"
Bok choy,1.42,22.4,"=ROUND(B20129*C20129,2)"
Cucumber,1.07,16.4,"=ROUND(B20130*C20130,2)"
Orange,1.09,33.6,"=ROUND(B20131*C20131,2)"
Bok choy,1.42,25.8,"=ROUND(B20132*C20132,2)"
Cherries,9.5,18.9,"=ROUND(B20133*C20133,2)"
Eggplant,2.32,14.2,"=ROUND(B20134*C20134,2)"
Bananas,0.86,37.7,"=ROUND(B20135*C20135,2)"
Lemon,1.27,30,"=ROUND(B20136*C20136,2)"
Lime,1.06,32.2,"=ROUND(B20137*C20137,2)"
Potatoes,0.86,11.4,"=ROUND(B20138*C20138,2)"
Watermelon,0.66,28.1,"=ROUND(B20139*C20139,2)"
Tomatoes,3.16,38.40000000000001,"=ROUND(B20140*C20140,2)"
Beets,1.51,35.5,"=ROUND(B20141*C20141,2)"
Okra,2.26,18,"=ROUND(B20142*C20142,2)"
Grapefruit,0.76,21.8,"=ROUND(B20143*C20143,2)"
Corn,1.07,6.2,"=ROUND(B20144*C20144,2)"
Tomatoes,3.16,36.8,"=ROUND(B20145*C20145,2)"
Butternut squash,1.28,13.3,"=ROUND(B20146*C20146,2)"
Orange,1.09,15.2,"=ROUND(B20147*C20147,2)"
Garlic,3.07,37.7,"=ROUND(B20148*C20148,2)"
Watermelon,0.66,0.9,"=ROUND(B20149*C20149,2)"
Kale,5.02,2.5,"=ROUND(B20150*C20150,2)"
Apples,1.88,12.5,"=ROUND(B20151*C20151,2)"
Ginger,5.13,31.9,"=ROUND(B20152*C20152,2)"
Red onion,0.78,24.7,"=ROUND(B20153*C20153,2)"
Potatoes,0.86,39.8,"=ROUND(B20154*C20154,2)"
Carrots,1.26,38.6,"=ROUND(B20155*C20155,2)"
Bok choy,1.42,33.5,"=ROUND(B20156*C20156,2)"
Cucumber,1.07,30.6,"=ROUND(B20157*C20157,2)"
Spinach,4.12,26,"=ROUND(B20158*C20158,2)"
Corn,1.07,24.9,"=ROUND(B20159*C20159,2)"
Parsnips,2.27,28.9,"=ROUND(B20160*C20160,2)"
Grapefruit,0.76,27.1,"=ROUND(B20161*C20161,2)"
Lime,1.06,21.8,"=ROUND(B20162*C20162,2)"
Spinach,4.12,22.8,"=ROUND(B20163*C20163,2)"
Grapefruit,0.76,17.3,"=ROUND(B20164*C20164,2)"
Apples,1.88,29.6,"=ROUND(B20165*C20165,2)"
Garlic,3.07,19.4,"=ROUND(B20166*C20166,2)"
Strawberries,4.4,1,"=ROUND(B20167*C20167,2)"
Bananas,0.86,21.6,"=ROUND(B20168*C20168,2)"
Avocados,3.23,10.7,"=ROUND(B20169*C20169,2)"
Fava beans,2.69,6.7,"=ROUND(B20170*C20170,2)"
Tomatoes,3.16,22,"=ROUND(B20171*C20171,2)"
Butternut squash,1.28,39.1,"=ROUND(B20172*C20172,2)"
Coconuts,1.18,32.5,"=ROUND(B20173*C20173,2)"
Watermelon,0.66,37,"=ROUND(B20174*C20174,2)"
Kale,5.02,3.5,"=ROUND(B20175*C20175,2)"
Coconuts,1.18,36.5,"=ROUND(B20176*C20176,2)"
Lettuce,1.88,4.7,"=ROUND(B20177*C20177,2)"
Grapes,2.63,33.2,"=ROUND(B20178*C20178,2)"
Strawberries,4.4,32.2,"=ROUND(B20179*C20179,2)"
Apples,1.88,16.2,"=ROUND(B20180*C20180,2)"
Spinach,4.12,4.9,"=ROUND(B20181*C20181,2)"
Garlic,3.07,10.3,"=ROUND(B20182*C20182,2)"
Apricots,3.71,21.8,"=ROUND(B20183*C20183,2)"
Ginger,5.13,30.5,"=ROUND(B20184*C20184,2)"
Cherries,9.5,8.4,"=ROUND(B20185*C20185,2)"
Celery,1.19,17.3,"=ROUND(B20186*C20186,2)"
Strawberries,4.4,28.5,"=ROUND(B20187*C20187,2)"
Asparagus,2.49,35.4,"=ROUND(B20188*C20188,2)"
Yellow peppers,2.87,35.3,"=ROUND(B20189*C20189,2)"
Lettuce,1.88,6.7,"=ROUND(B20190*C20190,2)"
Carrots,1.26,6.4,"=ROUND(B20191*C20191,2)"
Celery,1.19,38.6,"=ROUND(B20192*C20192,2)"
Lime,1.06,27.3,"=ROUND(B20193*C20193,2)"
Apples,1.88,1.4,"=ROUND(B20194*C20194,2)"
Grapes,2.63,27.3,"=ROUND(B20195*C20195,2)"
Corn,1.07,35.7,"=ROUND(B20196*C20196,2)"
Eggplant,2.32,19.4,"=ROUND(B20197*C20197,2)"
Green peppers,1.89,27.3,"=ROUND(B20198*C20198,2)"
Butternut squash,1.28,26.1,"=ROUND(B20199*C20199,2)"
Tomatoes,3.16,17.1,"=ROUND(B20200*C20200,2)"
Green beans,2.52,8.700000000000001,"=ROUND(B20201*C20201,2)"
Red onion,0.78,34.9,"=ROUND(B20202*C20202,2)"
Okra,2.26,29.4,"=ROUND(B20203*C20203,2)"
Asparagus,2.49,39.90000000000001,"=ROUND(B20204*C20204,2)"
Potatoes,0.86,8.8,"=ROUND(B20205*C20205,2)"
Ginger,5.13,22.6,"=ROUND(B20206*C20206,2)"
Strawberries,4.4,12,"=ROUND(B20207*C20207,2)"
Brussels sprouts,1.65,3.4,"=ROUND(B20208*C20208,2)"
Avocados,3.23,2.9,"=ROUND(B20209*C20209,2)"
Ginger,5.13,38.5,"=ROUND(B20210*C20210,2)"
Apricots,3.71,0.6000000000000001,"=ROUND(B20211*C20211,2)"
Beets,1.51,37.2,"=ROUND(B20212*C20212,2)"
Spinach,4.12,2.8,"=ROUND(B20213*C20213,2)"
Tomatoes,3.16,22.3,"=ROUND(B20214*C20214,2)"
Strawberries,4.4,7,"=ROUND(B20215*C20215,2)"
Brussels sprouts,1.65,27.7,"=ROUND(B20216*C20216,2)"
Lime,1.06,23.8,"=ROUND(B20217*C20217,2)"
Asparagus,2.49,22.2,"=ROUND(B20218*C20218,2)"
Lettuce,1.88,13.4,"=ROUND(B20219*C20219,2)"
Papaya,1.34,25.2,"=ROUND(B20220*C20220,2)"
Tomatoes,3.16,14.6,"=ROUND(B20221*C20221,2)"
Apricots,3.71,23.6,"=ROUND(B20222*C20222,2)"
Lettuce,1.88,35.1,"=ROUND(B20223*C20223,2)"
Okra,2.26,38.8,"=ROUND(B20224*C20224,2)"
Kale,5.02,11,"=ROUND(B20225*C20225,2)"
Ginger,5.13,19.9,"=ROUND(B20226*C20226,2)"
Asparagus,2.49,32.7,"=ROUND(B20227*C20227,2)"
Bananas,0.86,25.8,"=ROUND(B20228*C20228,2)"
Yellow peppers,2.87,28.5,"=ROUND(B20229*C20229,2)"
Garlic,3.07,37.3,"=ROUND(B20230*C20230,2)"
Coconuts,1.18,11.1,"=ROUND(B20231*C20231,2)"
Kale,5.02,1.2,"=ROUND(B20232*C20232,2)"
Kale,5.02,36,"=ROUND(B20233*C20233,2)"
Grapes,2.63,35.2,"=ROUND(B20234*C20234,2)"
Celery,1.19,22.2,"=ROUND(B20235*C20235,2)"
Orange,1.09,7.5,"=ROUND(B20236*C20236,2)"
Strawberries,4.4,18.6,"=ROUND(B20237*C20237,2)"
Grapes,2.63,25.1,"=ROUND(B20238*C20238,2)"
Cherries,9.5,30.4,"=ROUND(B20239*C20239,2)"
Watermelon,0.66,2.6,"=ROUND(B20240*C20240,2)"
Brussels sprouts,1.65,37.4,"=ROUND(B20241*C20241,2)"
Green cabbage,0.8,32.8,"=ROUND(B20242*C20242,2)"
Apricots,3.71,1.1,"=ROUND(B20243*C20243,2)"
Green cabbage,0.8,20,"=ROUND(B20244*C20244,2)"
Yellow peppers,2.87,16.8,"=ROUND(B20245*C20245,2)"
Fava beans,2.69,36.9,"=ROUND(B20246*C20246,2)"
Bananas,0.86,9.200000000000001,"=ROUND(B20247*C20247,2)"
Beets,1.51,25,"=ROUND(B20248*C20248,2)"
Carrots,1.26,25.1,"=ROUND(B20249*C20249,2)"
Lemon,1.27,16.4,"=ROUND(B20250*C20250,2)"
Strawberries,4.4,33.8,"=ROUND(B20251*C20251,2)"
Apricots,3.71,11.9,"=ROUND(B20252*C20252,2)"
Kale,5.02,33.7,"=ROUND(B20253*C20253,2)"
Grapefruit,0.76,35.2,"=ROUND(B20254*C20254,2)"
Corn,1.07,27.4,"=ROUND(B20255*C20255,2)"
Red onion,0.78,31.9,"=ROUND(B20256*C20256,2)"
Butternut squash,1.28,30.5,"=ROUND(B20257*C20257,2)"
Fava beans,2.69,26.1,"=ROUND(B20258*C20258,2)"
Orange,1.09,6.600000000000001,"=ROUND(B20259*C20259,2)"
Lemon,1.27,21,"=ROUND(B20260*C20260,2)"
Celery,1.19,28.4,"=ROUND(B20261*C20261,2)"
Lettuce,1.88,3.8,"=ROUND(B20262*C20262,2)"
Green cabbage,0.8,37.8,"=ROUND(B20263*C20263,2)"
Papaya,1.34,17.6,"=ROUND(B20264*C20264,2)"
Papaya,1.34,33.9,"=ROUND(B20265*C20265,2)"
Potatoes,0.86,17.7,"=ROUND(B20266*C20266,2)"
Garlic,3.07,32.6,"=ROUND(B20267*C20267,2)"
Corn,1.07,9.4,"=ROUND(B20268*C20268,2)"
Spinach,4.12,22,"=ROUND(B20269*C20269,2)"
Strawberries,4.4,39.40000000000001,"=ROUND(B20270*C20270,2)"
Strawberries,4.4,14.2,"=ROUND(B20271*C20271,2)"
Tomatoes,3.16,7.600000000000001,"=ROUND(B20272*C20272,2)"
Coconuts,1.18,32.7,"=ROUND(B20273*C20273,2)"
Red onion,0.78,24.3,"=ROUND(B20274*C20274,2)"
Okra,2.26,39.1,"=ROUND(B20275*C20275,2)"
Potatoes,0.86,21.6,"=ROUND(B20276*C20276,2)"
Avocados,3.23,19.2,"=ROUND(B20277*C20277,2)"
Butternut squash,1.28,10.6,"=ROUND(B20278*C20278,2)"
Lemon,1.27,38.90000000000001,"=ROUND(B20279*C20279,2)"
Eggplant,2.32,11.3,"=ROUND(B20280*C20280,2)"
Grapefruit,0.76,2.8,"=ROUND(B20281*C20281,2)"
Apples,1.88,22,"=ROUND(B20282*C20282,2)"
Beets,1.51,24.8,"=ROUND(B20283*C20283,2)"
Fava beans,2.69,15.9,"=ROUND(B20284*C20284,2)"
Green cabbage,0.8,7.9,"=ROUND(B20285*C20285,2)"
Avocados,3.23,16.8,"=ROUND(B20286*C20286,2)"
Grapes,2.63,35.6,"=ROUND(B20287*C20287,2)"
Green beans,2.52,18.8,"=ROUND(B20288*C20288,2)"
Eggplant,2.32,18.5,"=ROUND(B20289*C20289,2)"
Yellow peppers,2.87,21.5,"=ROUND(B20290*C20290,2)"
Garlic,3.07,25.3,"=ROUND(B20291*C20291,2)"
Garlic,3.07,31.9,"=ROUND(B20292*C20292,2)"
Tomatoes,3.16,18.9,"=ROUND(B20293*C20293,2)"
Cucumber,1.07,28.1,"=ROUND(B20294*C20294,2)"
Spinach,4.12,34.4,"=ROUND(B20295*C20295,2)"
Watermelon,0.66,28.8,"=ROUND(B20296*C20296,2)"
Red onion,0.78,7.100000000000001,"=ROUND(B20297*C20297,2)"
Parsnips,2.27,33.4,"=ROUND(B20298*C20298,2)"
Apples,1.88,5.800000000000001,"=ROUND(B20299*C20299,2)"
Parsnips,2.27,7.7,"=ROUND(B20300*C20300,2)"
Strawberries,4.4,29,"=ROUND(B20301*C20301,2)"
Spinach,4.12,20.2,"=ROUND(B20302*C20302,2)"
Orange,1.09,38.90000000000001,"=ROUND(B20303*C20303,2)"
Cherries,9.5,12.3,"=ROUND(B20304*C20304,2)"
Green cabbage,0.8,34.5,"=ROUND(B20305*C20305,2)"
Apricots,3.71,3,"=ROUND(B20306*C20306,2)"
Lime,1.06,7.100000000000001,"=ROUND(B20307*C20307,2)"
Bananas,0.86,16,"=ROUND(B20308*C20308,2)"
Daikon,1.4,29.8,"=ROUND(B20309*C20309,2)"
Bananas,0.86,12.1,"=ROUND(B20310*C20310,2)"
Cucumber,1.07,32.1,"=ROUND(B20311*C20311,2)"
Bananas,0.86,1.3,"=ROUND(B20312*C20312,2)"
Lime,1.06,22.1,"=ROUND(B20313*C20313,2)"
Lettuce,1.88,35.7,"=ROUND(B20314*C20314,2)"
Potatoes,0.86,30.9,"=ROUND(B20315*C20315,2)"
Cherries,9.5,25.2,"=ROUND(B20316*C20316,2)"
Okra,2.26,14.9,"=ROUND(B20317*C20317,2)"
Kale,5.02,12.8,"=ROUND(B20318*C20318,2)"
Apples,1.88,16.3,"=ROUND(B20319*C20319,2)"
Red onion,0.78,25.8,"=ROUND(B20320*C20320,2)"
Lime,1.06,13.9,"=ROUND(B20321*C20321,2)"
Potatoes,0.86,4.9,"=ROUND(B20322*C20322,2)"
Beets,1.51,10.7,"=ROUND(B20323*C20323,2)"
Grapes,2.63,5.100000000000001,"=ROUND(B20324*C20324,2)"
Apples,1.88,27.9,"=ROUND(B20325*C20325,2)"
Avocados,3.23,6.600000000000001,"=ROUND(B20326*C20326,2)"
Yellow peppers,2.87,38.5,"=ROUND(B20327*C20327,2)"
Grapefruit,0.76,6.7,"=ROUND(B20328*C20328,2)"
Brussels sprouts,1.65,37.9,"=ROUND(B20329*C20329,2)"
